"sreg","ac_full_type","msn","body_type","type_of_big_part","ori_position","created_on","start_period","end_period","flight_cycle","flight_hour"
PK-GIE,Boeing 777-300ER,"29147",WB,AIRFRAME,,2020-05-17 17:15:45,2020-04-01 00:00:00,2020-04-30 00:00:00,0,"000:00:00"
PK-GIE,Boeing 777-300ER,"29147",WB,APU,,2020-05-17 17:15:45,2020-04-01 00:00:00,2020-04-30 00:00:00,11,"014:00:00"
PK-GIE,Boeing 777-300ER,"29147",WB,ENGINE,Pos 1,2020-05-17 17:15:45,2020-04-01 00:00:00,2020-04-30 00:00:00,0,"000:00:00"
PK-GIE,Boeing 777-300ER,"29147",WB,ENGINE,Pos 2,2020-05-17 17:15:45,2020-04-01 00:00:00,2020-04-30 00:00:00,0,"000:00:00"
PK-GIE,Boeing 777-300ER,"29147",WB,LG,,2020-05-17 17:15:45,2020-04-01 00:00:00,2020-04-30 00:00:00,0,"000:00:00"
PK-GRK,Bombardier-CRJ-1000,"19033",NB,AIRFRAME,,2020-05-18 15:53:04,2020-04-01 00:00:00,2020-04-30 00:00:00,16,"018:19:00"
PK-GRK,Bombardier-CRJ-1000,"19033",NB,APU,,2020-05-18 15:53:04,2020-04-01 00:00:00,2020-04-30 00:00:00,0,"000:00:00"
PK-GRK,Bombardier-CRJ-1000,"19033",NB,ENGINE,Pos 1,2020-05-18 15:53:04,2020-04-01 00:00:00,2020-04-30 00:00:00,2,"000:42:00"
PK-GRK,Bombardier-CRJ-1000,"19033",NB,ENGINE,Pos 2,2020-05-18 15:53:04,2020-04-01 00:00:00,2020-04-30 00:00:00,34,"050:02:00"
PK-GRK,Bombardier-CRJ-1000,"19033",NB,LG,,2020-05-18 15:53:04,2020-04-01 00:00:00,2020-04-30 00:00:00,16,"018:19:00"
PK-GRL,Bombardier-CRJ-1000,"19034",NB,AIRFRAME,,2020-05-18 17:57:07,2020-04-01 00:00:00,2020-04-30 00:00:00,0,"000:00:00"
PK-GRL,Bombardier-CRJ-1000,"19034",NB,APU,,2020-05-18 17:57:07,2020-04-01 00:00:00,2020-04-30 00:00:00,82,"077:00:00"
PK-GRL,Bombardier-CRJ-1000,"19034",NB,ENGINE,Pos 1,2020-05-18 17:57:07,2020-04-01 00:00:00,2020-04-30 00:00:00,16,"018:19:59"
PK-GRL,Bombardier-CRJ-1000,"19034",NB,ENGINE,Pos 2,2020-05-18 17:57:07,2020-04-01 00:00:00,2020-04-30 00:00:00,0,"000:00:00"
PK-GRL,Bombardier-CRJ-1000,"19034",NB,LG,,2020-05-18 17:57:07,2020-04-01 00:00:00,2020-04-30 00:00:00,0,"000:00:00"
PK-GNA,B737-800NG,"41310",NB,AIRFRAME,,2020-05-26 17:54:14,2020-04-01 00:00:00,2020-04-30 00:00:00,37,"066:13:00"
PK-GNA,B737-800NG,"41310",NB,APU,,2020-05-26 17:54:14,2020-04-01 00:00:00,2020-04-30 00:00:00,13014,"00000:00:00"
PK-GNA,B737-800NG,"41310",NB,LG,,2020-05-26 17:54:14,2020-04-01 00:00:00,2020-04-30 00:00:00,37,"066:13:00"
PK-GNA,B737-800NG,"41310",NB,ENGINE,Pos 1,2020-05-26 17:54:14,2020-04-01 00:00:00,2020-04-30 00:00:00,51,"061:18:00"
PK-GNA,B737-800NG,"41310",NB,ENGINE,Pos 2,2020-05-26 17:54:14,2020-04-01 00:00:00,2020-04-30 00:00:00,51,"068:14:00"
PK-GNM,B737-800NG,"41322",NB,AIRFRAME,,2020-05-26 19:12:50,2020-04-01 00:00:00,2020-04-30 00:00:00,21,"024:41:00"
PK-GNM,B737-800NG,"41322",NB,APU,,2020-05-26 19:12:50,2020-04-01 00:00:00,2020-04-30 00:00:00,0,"00000:00:00"
PK-GNM,B737-800NG,"41322",NB,LG,,2020-05-26 19:12:50,2020-04-01 00:00:00,2020-04-30 00:00:00,21,"024:41:00"
PK-GNM,B737-800NG,"41322",NB,ENGINE,Pos 1,2020-05-26 19:12:50,2020-04-01 00:00:00,2020-04-30 00:00:00,6,"010:24:00"
PK-GNM,B737-800NG,"41322",NB,ENGINE,Pos 2,2020-05-26 19:12:50,2020-04-01 00:00:00,2020-04-30 00:00:00,0,"00000:00:00"
PK-GFW,B737-800NG,"39929",NB,AIRFRAME,,2020-05-26 20:12:01,2020-04-01 00:00:00,2020-04-30 00:00:00,40,"054:39:00"
PK-GFW,B737-800NG,"39929",NB,APU,,2020-05-26 20:12:01,2020-04-01 00:00:00,2020-04-30 00:00:00,0,"00000:00:00"
PK-GFW,B737-800NG,"39929",NB,LG,,2020-05-26 20:12:01,2020-04-01 00:00:00,2020-04-30 00:00:00,40,"054:39:00"
PK-GFW,B737-800NG,"39929",NB,ENGINE,Pos 1,2020-05-26 20:12:01,2020-04-01 00:00:00,2020-04-30 00:00:00,40,"054:39:00"
PK-GFW,B737-800NG,"39929",NB,ENGINE,Pos 2,2020-05-26 20:12:01,2020-04-01 00:00:00,2020-04-30 00:00:00,40,"054:39:00"
PK-GFW,B737-800NG,"39929",NB,AIRFRAME,,2020-05-26 20:12:08,2020-05-01 00:00:00,2020-05-31 00:00:00,0,"000:00:00"
PK-GFW,B737-800NG,"39929",NB,APU,,2020-05-26 20:12:08,2020-05-01 00:00:00,2020-05-31 00:00:00,0,"000:00:00"
PK-GFW,B737-800NG,"39929",NB,LG,,2020-05-26 20:12:08,2020-05-01 00:00:00,2020-05-31 00:00:00,0,"000:00:00"
PK-GFW,B737-800NG,"39929",NB,ENGINE,Pos 1,2020-05-26 20:12:08,2020-05-01 00:00:00,2020-05-31 00:00:00,0,"000:00:00"
PK-GFW,B737-800NG,"39929",NB,ENGINE,Pos 2,2020-05-26 20:12:08,2020-05-01 00:00:00,2020-05-31 00:00:00,0,"000:00:00"
PK-GNR,B737-800NG,"39955",NB,AIRFRAME,,2020-05-27 01:33:06,2020-04-01 00:00:00,2020-04-30 00:00:00,0,"00000:00:00"
PK-GNR,B737-800NG,"39955",NB,ENGINE,Pos 1,2020-05-27 01:33:06,2020-04-01 00:00:00,2020-04-30 00:00:00,0,"00000:00:00"
PK-GNR,B737-800NG,"39955",NB,ENGINE,Pos 2,2020-05-27 01:33:06,2020-04-01 00:00:00,2020-04-30 00:00:00,0,"00000:00:00"
PK-GNR,B737-800NG,"39955",NB,APU,,2020-05-27 01:33:06,2020-04-01 00:00:00,2020-04-30 00:00:00,0,"00000:00:00"
PK-GNR,B737-800NG,"39955",NB,LG,,2020-05-27 01:33:06,2020-04-01 00:00:00,2020-04-30 00:00:00,0,"00000:00:00"
PK-GPO,Airbus 330-200,"1288",WB,AIRFRAME,,2020-05-27 02:21:03,2020-04-01 00:00:00,2020-04-30 00:00:00,0,"00000:00:00"
PK-GPO,Airbus 330-200,"1288",WB,APU,,2020-05-27 02:21:03,2020-04-01 00:00:00,2020-04-30 00:00:00,42,"051:00:00"
PK-GPO,Airbus 330-200,"1288",WB,LG,,2020-05-27 02:21:03,2020-04-01 00:00:00,2020-04-30 00:00:00,0,"00000:00:00"
PK-GPO,Airbus 330-200,"1288",WB,ENGINE,Pos 1,2020-05-27 02:21:03,2020-04-01 00:00:00,2020-04-30 00:00:00,1,"000:29:00"
PK-GPO,Airbus 330-200,"1288",WB,ENGINE,Pos 2,2020-05-27 02:21:03,2020-04-01 00:00:00,2020-04-30 00:00:00,0,"00000:00:00"
PK-GNC,B737-800NG,"41312",NB,AIRFRAME,,2020-05-28 17:28:36,2020-04-01 00:00:00,2020-04-30 00:00:00,51,"068:14:00"
PK-GNC,B737-800NG,"41312",NB,APU,,2020-05-28 17:28:36,2020-04-01 00:00:00,2020-04-30 00:00:00,0,"00000:00:00"
PK-GNC,B737-800NG,"41312",NB,LG,,2020-05-28 17:28:36,2020-04-01 00:00:00,2020-04-30 00:00:00,51,"068:14:00"
PK-GNC,B737-800NG,"41312",NB,ENGINE,Pos 1,2020-05-28 17:28:36,2020-04-01 00:00:00,2020-04-30 00:00:00,1,"001:01:00"
PK-GNC,B737-800NG,"41312",NB,ENGINE,Pos 2,2020-05-28 17:28:36,2020-04-01 00:00:00,2020-04-30 00:00:00,56,"081:01:00"
PK-GFA,B737-800NG,"36549",NB,AIRFRAME,,2020-05-28 18:16:58,2020-04-01 00:00:00,2020-04-30 00:00:00,18267,"00000:00:00"
PK-GFA,B737-800NG,"36549",NB,ENGINE,Pos 1,2020-05-28 18:16:58,2020-04-01 00:00:00,2020-04-30 00:00:00,62,"097:22:00"
PK-GFA,B737-800NG,"36549",NB,ENGINE,Pos 2,2020-05-28 18:16:58,2020-04-01 00:00:00,2020-04-30 00:00:00,37,"043:41:00"
PK-GFA,B737-800NG,"36549",NB,APU,,2020-05-28 18:16:58,2020-04-01 00:00:00,2020-04-30 00:00:00,0,"00000:00:00"
PK-GFA,B737-800NG,"36549",NB,LG,,2020-05-28 18:16:58,2020-04-01 00:00:00,2020-04-30 00:00:00,0,"00000:00:00"
PK-GFM,B737-800NG,"39920",NB,AIRFRAME,,2020-05-28 22:21:19,2020-04-01 00:00:00,2020-04-30 00:00:00,0,"00000:00:00"
PK-GFM,B737-800NG,"39920",NB,APU,,2020-05-28 22:21:19,2020-04-01 00:00:00,2020-04-30 00:00:00,0,"00000:00:00"
PK-GFM,B737-800NG,"39920",NB,LG,,2020-05-28 22:21:19,2020-04-01 00:00:00,2020-04-30 00:00:00,0,"00000:00:00"
PK-GFM,B737-800NG,"39920",NB,ENGINE,Pos 1,2020-05-28 22:21:19,2020-04-01 00:00:00,2020-04-30 00:00:00,50,"069:29:00"
PK-GFM,B737-800NG,"39920",NB,ENGINE,Pos 2,2020-05-28 22:21:19,2020-04-01 00:00:00,2020-04-30 00:00:00,37,"050:48:00"
PK-GHC,Airbus 330-300,"1723",WB,AIRFRAME,,2020-05-29 00:20:43,2020-04-01 00:00:00,2020-04-30 00:00:00,28,"135:19:00"
PK-GHC,Airbus 330-300,"1723",WB,APU,,2020-05-29 00:20:43,2020-04-01 00:00:00,2020-04-30 00:00:00,74,"109:00:00"
PK-GHC,Airbus 330-300,"1723",WB,LG,,2020-05-29 00:20:43,2020-04-01 00:00:00,2020-04-30 00:00:00,28,"135:19:00"
PK-GHC,Airbus 330-300,"1723",WB,ENGINE,Pos 1,2020-05-29 00:20:43,2020-04-01 00:00:00,2020-04-30 00:00:00,28,"135:19:00"
PK-GHC,Airbus 330-300,"1723",WB,ENGINE,Pos 2,2020-05-29 00:20:43,2020-04-01 00:00:00,2020-04-30 00:00:00,28,"135:19:00"
PK-GHD,Airbus 330-300,"1733",WB,AIRFRAME,,2020-05-29 03:20:59,2020-04-01 00:00:00,2020-04-30 00:00:00,36,"185:21:00"
PK-GHD,Airbus 330-300,"1733",WB,APU,,2020-05-29 03:20:59,2020-04-01 00:00:00,2020-04-30 00:00:00,0,"00000:00:00"
PK-GHD,Airbus 330-300,"1733",WB,LG,,2020-05-29 03:20:59,2020-04-01 00:00:00,2020-04-30 00:00:00,36,"185:21:00"
PK-GHD,Airbus 330-300,"1733",WB,ENGINE,Pos 1,2020-05-29 03:20:59,2020-04-01 00:00:00,2020-04-30 00:00:00,36,"185:21:00"
PK-GHD,Airbus 330-300,"1733",WB,ENGINE,Pos 2,2020-05-29 03:20:59,2020-04-01 00:00:00,2020-04-30 00:00:00,36,"185:21:00"
PK-GFS,B737-800NG,"36830",NB,AIRFRAME,,2020-05-30 01:44:03,2020-04-01 00:00:00,2020-04-30 00:00:00,21,"026:46:00"
PK-GFS,B737-800NG,"36830",NB,APU,,2020-05-30 01:44:03,2020-04-01 00:00:00,2020-04-30 00:00:00,0,"00000:00:00"
PK-GFS,B737-800NG,"36830",NB,LG,,2020-05-30 01:44:03,2020-04-01 00:00:00,2020-04-30 00:00:00,21,"026:46:00"
PK-GFS,B737-800NG,"36830",NB,ENGINE,Pos 1,2020-05-30 01:44:03,2020-04-01 00:00:00,2020-04-30 00:00:00,45,"052:51:00"
PK-GFS,B737-800NG,"36830",NB,ENGINE,Pos 2,2020-05-30 01:44:03,2020-04-01 00:00:00,2020-04-30 00:00:00,23,"032:25:00"
PK-GPS,Airbus 330-200,"1474",WB,AIRFRAME,,2020-06-02 17:45:49,2020-04-01 00:00:00,2020-04-30 00:00:00,2,"002:35:00"
PK-GPS,Airbus 330-200,"1474",WB,APU,,2020-06-02 17:45:49,2020-04-01 00:00:00,2020-04-30 00:00:00,58,"063:00:00"
PK-GPS,Airbus 330-200,"1474",WB,LG,,2020-06-02 17:45:49,2020-04-01 00:00:00,2020-04-30 00:00:00,2,"002:35:00"
PK-GPS,Airbus 330-200,"1474",WB,ENGINE,Pos 1,2020-06-02 17:45:49,2020-04-01 00:00:00,2020-04-30 00:00:00,8,"035:21:00"
PK-GPS,Airbus 330-200,"1474",WB,ENGINE,Pos 2,2020-06-02 17:45:49,2020-04-01 00:00:00,2020-04-30 00:00:00,38,"132:51:00"
PK-GFT,B737-800NG,"38032",NB,AIRFRAME,,2020-06-03 00:06:00,2020-04-01 00:00:00,2020-04-30 00:00:00,28,"042:23:00"
PK-GFT,B737-800NG,"38032",NB,APU,,2020-06-03 00:06:00,2020-04-01 00:00:00,2020-04-30 00:00:00,0,"00000:00:00"
PK-GFT,B737-800NG,"38032",NB,LG,,2020-06-03 00:06:00,2020-04-01 00:00:00,2020-04-30 00:00:00,28,"042:23:00"
PK-GFT,B737-800NG,"38032",NB,ENGINE,Pos 1,2020-06-03 00:06:00,2020-04-01 00:00:00,2020-04-30 00:00:00,45,"048:44:00"
PK-GFT,B737-800NG,"38032",NB,ENGINE,Pos 2,2020-06-03 00:06:00,2020-04-01 00:00:00,2020-04-30 00:00:00,30,"041:41:00"
PK-GFY,B737-800NG,"38043",NB,AIRFRAME,,2020-06-03 01:00:00,2020-04-01 00:00:00,2020-04-30 00:00:00,22,"026:29:00"
PK-GFY,B737-800NG,"38043",NB,APU,,2020-06-03 01:00:00,2020-04-01 00:00:00,2020-04-30 00:00:00,0,"00000:00:00"
PK-GFY,B737-800NG,"38043",NB,LG,,2020-06-03 01:00:00,2020-04-01 00:00:00,2020-04-30 00:00:00,22,"026:29:00"
PK-GFY,B737-800NG,"38043",NB,ENGINE,Pos 1,2020-06-03 01:00:00,2020-04-01 00:00:00,2020-04-30 00:00:00,50,"069:29:00"
PK-GFY,B737-800NG,"38043",NB,ENGINE,Pos 2,2020-06-03 01:00:00,2020-04-01 00:00:00,2020-04-30 00:00:00,0,"00000:00:00"
PK-GFZ,B737-800NG,"38044",NB,AIRFRAME,,2020-06-03 01:42:44,2020-04-01 00:00:00,2020-04-30 00:00:00,62,"097:22:00"
PK-GFZ,B737-800NG,"38044",NB,APU,,2020-06-03 01:42:44,2020-04-01 00:00:00,2020-04-30 00:00:00,0,"00000:00:00"
PK-GFZ,B737-800NG,"38044",NB,LG,,2020-06-03 01:42:44,2020-04-01 00:00:00,2020-04-30 00:00:00,62,"097:22:00"
PK-GFZ,B737-800NG,"38044",NB,ENGINE,Pos 1,2020-06-03 01:42:44,2020-04-01 00:00:00,2020-04-30 00:00:00,62,"091:12:00"
PK-GFZ,B737-800NG,"38044",NB,ENGINE,Pos 2,2020-06-03 01:42:44,2020-04-01 00:00:00,2020-04-30 00:00:00,51,"068:14:00"
PK-GNI,B737-800NG,"41267",NB,AIRFRAME,,2020-06-03 02:42:44,2020-04-01 00:00:00,2020-04-30 00:00:00,23,"034:12:00"
PK-GNI,B737-800NG,"41267",NB,APU,,2020-06-03 02:42:44,2020-04-01 00:00:00,2020-04-30 00:00:00,0,"00000:00:00"
PK-GNI,B737-800NG,"41267",NB,LG,,2020-06-03 02:42:44,2020-04-01 00:00:00,2020-04-30 00:00:00,23,"034:12:00"
PK-GNI,B737-800NG,"41267",NB,ENGINE,Pos 1,2020-06-03 02:42:44,2020-04-01 00:00:00,2020-04-30 00:00:00,2,"002:19:00"
PK-GNI,B737-800NG,"41267",NB,ENGINE,Pos 2,2020-06-03 02:42:44,2020-04-01 00:00:00,2020-04-30 00:00:00,8,"007:16:00"
PK-GNE,B737-800NG,"39936",NB,AIRFRAME,,2020-06-03 03:33:02,2020-04-01 00:00:00,2020-04-30 00:00:00,0,"00000:00:00"
PK-GNE,B737-800NG,"39936",NB,APU,,2020-06-03 03:33:02,2020-04-01 00:00:00,2020-04-30 00:00:00,0,"00000:00:00"
PK-GNE,B737-800NG,"39936",NB,LG,,2020-06-03 03:33:02,2020-04-01 00:00:00,2020-04-30 00:00:00,0,"00000:00:00"
PK-GNE,B737-800NG,"39936",NB,ENGINE,Pos 1,2020-06-03 03:33:02,2020-04-01 00:00:00,2020-04-30 00:00:00,0,"00000:00:00"
PK-GNE,B737-800NG,"39936",NB,ENGINE,Pos 2,2020-06-03 03:33:02,2020-04-01 00:00:00,2020-04-30 00:00:00,0,"00000:00:00"
PK-GNF,B737-800NG,"39939",NB,AIRFRAME,,2020-06-03 04:29:36,2020-04-01 00:00:00,2020-04-30 00:00:00,0,"00000:00:00"
PK-GNF,B737-800NG,"39939",NB,APU,,2020-06-03 04:29:36,2020-04-01 00:00:00,2020-04-30 00:00:00,0,"00000:00:00"
PK-GNF,B737-800NG,"39939",NB,LG,,2020-06-03 04:29:36,2020-04-01 00:00:00,2020-04-30 00:00:00,0,"00000:00:00"
PK-GNF,B737-800NG,"39939",NB,ENGINE,Pos 1,2020-06-03 04:29:36,2020-04-01 00:00:00,2020-04-30 00:00:00,0,"00000:00:00"
PK-GNF,B737-800NG,"39939",NB,ENGINE,Pos 2,2020-06-03 04:29:36,2020-04-01 00:00:00,2020-04-30 00:00:00,0,"00000:00:00"
PK-GRG,Bombardier-CRJ-1000,"19029",NB,AIRFRAME,,2020-06-05 01:08:11,2020-05-01 00:00:00,2020-05-31 00:00:00,0,"000:00:00"
PK-GRG,Bombardier-CRJ-1000,"19029",NB,APU,,2020-06-05 01:08:11,2020-05-01 00:00:00,2020-05-31 00:00:00,0,"000:00:00"
PK-GRG,Bombardier-CRJ-1000,"19029",NB,ENGINE,Pos 1,2020-06-05 01:08:11,2020-05-01 00:00:00,2020-05-31 00:00:00,0,"000:00:00"
PK-GRG,Bombardier-CRJ-1000,"19029",NB,ENGINE,Pos 2,2020-06-05 01:08:11,2020-05-01 00:00:00,2020-05-31 00:00:00,0,"000:00:00"
PK-GRG,Bombardier-CRJ-1000,"19029",NB,LG,,2020-06-05 01:08:11,2020-05-01 00:00:00,2020-05-31 00:00:00,0,"000:00:00"
PK-GRI,Bombardier-CRJ-1000,"19031",NB,LH-LG,,2020-06-05 01:16:53,2020-05-01 00:00:00,2020-05-31 00:00:00,0,"000:00:00"
PK-GRI,Bombardier-CRJ-1000,"19031",NB,AIRFRAME,,2020-06-05 01:16:53,2020-05-01 00:00:00,2020-05-31 00:00:00,0,"000:00:00"
PK-GRI,Bombardier-CRJ-1000,"19031",NB,APU,,2020-06-05 01:16:53,2020-05-01 00:00:00,2020-05-31 00:00:00,0,"000:00:00"
PK-GRI,Bombardier-CRJ-1000,"19031",NB,ENGINE,Pos 1,2020-06-05 01:16:53,2020-05-01 00:00:00,2020-05-31 00:00:00,0,"000:00:00"
PK-GRI,Bombardier-CRJ-1000,"19031",NB,ENGINE,Pos 2,2020-06-05 01:16:53,2020-05-01 00:00:00,2020-05-31 00:00:00,0,"000:00:00"
PK-GRI,Bombardier-CRJ-1000,"19031",NB,LG,,2020-06-05 01:16:53,2020-05-01 00:00:00,2020-05-31 00:00:00,0,"000:00:00"
PK-GRJ,Bombardier-CRJ-1000,"19032",NB,AIRFRAME,,2020-06-05 01:20:31,2020-05-01 00:00:00,2020-05-31 00:00:00,0,"000:00:00"
PK-GRJ,Bombardier-CRJ-1000,"19032",NB,APU,,2020-06-05 01:20:31,2020-05-01 00:00:00,2020-05-31 00:00:00,0,"000:00:00"
PK-GRJ,Bombardier-CRJ-1000,"19032",NB,ENGINE,Pos 1,2020-06-05 01:20:31,2020-05-01 00:00:00,2020-05-31 00:00:00,0,"000:00:00"
PK-GRJ,Bombardier-CRJ-1000,"19032",NB,ENGINE,Pos 2,2020-06-05 01:20:31,2020-05-01 00:00:00,2020-05-31 00:00:00,0,"000:00:00"
PK-GRJ,Bombardier-CRJ-1000,"19032",NB,LG,,2020-06-05 01:20:31,2020-05-01 00:00:00,2020-05-31 00:00:00,0,"000:00:00"
PK-GRL,Bombardier-CRJ-1000,"19034",NB,AIRFRAME,,2020-06-05 01:29:18,2020-05-01 00:00:00,2020-05-31 00:00:00,0,"000:00:00"
PK-GRL,Bombardier-CRJ-1000,"19034",NB,APU,,2020-06-05 01:29:18,2020-05-01 00:00:00,2020-05-31 00:00:00,0,"000:00:00"
PK-GRL,Bombardier-CRJ-1000,"19034",NB,ENGINE,Pos 1,2020-06-05 01:29:18,2020-05-01 00:00:00,2020-05-31 00:00:00,19,"030:06:00"
PK-GRL,Bombardier-CRJ-1000,"19034",NB,ENGINE,Pos 2,2020-06-05 01:29:18,2020-05-01 00:00:00,2020-05-31 00:00:00,0,"000:00:00"
PK-GRL,Bombardier-CRJ-1000,"19034",NB,LG,,2020-06-05 01:29:18,2020-05-01 00:00:00,2020-05-31 00:00:00,0,"000:00:00"
PK-GRO,Bombardier-CRJ-1000,"19038",NB,AIRFRAME,,2020-06-05 01:33:51,2020-05-01 00:00:00,2020-05-31 00:00:00,0,"000:00:00"
PK-GRO,Bombardier-CRJ-1000,"19038",NB,APU,,2020-06-05 01:33:51,2020-05-01 00:00:00,2020-05-31 00:00:00,0,"000:00:00"
PK-GRO,Bombardier-CRJ-1000,"19038",NB,ENGINE,Pos 1,2020-06-05 01:33:51,2020-05-01 00:00:00,2020-05-31 00:00:00,0,"000:00:00"
PK-GRO,Bombardier-CRJ-1000,"19038",NB,ENGINE,Pos 2,2020-06-05 01:33:51,2020-05-01 00:00:00,2020-05-31 00:00:00,0,"000:00:00"
PK-GRO,Bombardier-CRJ-1000,"19038",NB,LG,,2020-06-05 01:33:51,2020-05-01 00:00:00,2020-05-31 00:00:00,0,"000:00:00"
PK-GRP,Bombardier-CRJ-1000,"19039",NB,AIRFRAME,,2020-06-05 01:36:24,2020-05-01 00:00:00,2020-05-31 00:00:00,0,"000:00:00"
PK-GRP,Bombardier-CRJ-1000,"19039",NB,APU,,2020-06-05 01:36:24,2020-05-01 00:00:00,2020-05-31 00:00:00,0,"000:00:00"
PK-GRP,Bombardier-CRJ-1000,"19039",NB,ENGINE,Pos 1,2020-06-05 01:36:24,2020-05-01 00:00:00,2020-05-31 00:00:00,0,"000:00:00"
PK-GRP,Bombardier-CRJ-1000,"19039",NB,ENGINE,Pos 2,2020-06-05 01:36:24,2020-05-01 00:00:00,2020-05-31 00:00:00,0,"000:00:00"
PK-GRP,Bombardier-CRJ-1000,"19039",NB,LG,,2020-06-05 01:36:24,2020-05-01 00:00:00,2020-05-31 00:00:00,0,"000:00:00"
PK-GRR,Bombardier-CRJ-1000,"19042",NB,AIRFRAME,,2020-06-05 01:39:05,2020-05-01 00:00:00,2020-05-31 00:00:00,0,"000:00:00"
PK-GRR,Bombardier-CRJ-1000,"19042",NB,APU,,2020-06-05 01:39:05,2020-05-01 00:00:00,2020-05-31 00:00:00,0,"000:00:00"
PK-GRR,Bombardier-CRJ-1000,"19042",NB,ENGINE,Pos 1,2020-06-05 01:39:05,2020-05-01 00:00:00,2020-05-31 00:00:00,0,"000:00:00"
PK-GRF,Bombardier-CRJ-1000,"19028",NB,APU,,2020-06-05 01:05:38,2020-05-01 00:00:00,2020-05-31 00:00:00,21,"020:00:00"
PK-GRF,Bombardier-CRJ-1000,"19028",NB,ENGINE,Pos 1,2020-06-05 01:05:38,2020-05-01 00:00:00,2020-05-31 00:00:00,0,"000:00:00"
PK-GRF,Bombardier-CRJ-1000,"19028",NB,ENGINE,Pos 2,2020-06-05 01:05:38,2020-05-01 00:00:00,2020-05-31 00:00:00,0,"000:00:00"
PK-GRF,Bombardier-CRJ-1000,"19028",NB,LG,,2020-06-05 01:05:38,2020-05-01 00:00:00,2020-05-31 00:00:00,0,"000:00:00"
PK-GRH,Bombardier-CRJ-1000,"19030",NB,AIRFRAME,,2020-06-05 01:14:16,2020-05-01 00:00:00,2020-05-31 00:00:00,0,"000:00:00"
PK-GRH,Bombardier-CRJ-1000,"19030",NB,APU,,2020-06-05 01:14:16,2020-05-01 00:00:00,2020-05-31 00:00:00,85,"070:00:00"
PK-GRH,Bombardier-CRJ-1000,"19030",NB,ENGINE,Pos 1,2020-06-05 01:14:16,2020-05-01 00:00:00,2020-05-31 00:00:00,0,"000:00:00"
PK-GRH,Bombardier-CRJ-1000,"19030",NB,ENGINE,Pos 2,2020-06-05 01:14:16,2020-05-01 00:00:00,2020-05-31 00:00:00,0,"000:00:00"
PK-GRH,Bombardier-CRJ-1000,"19030",NB,LG,,2020-06-05 01:14:16,2020-05-01 00:00:00,2020-05-31 00:00:00,0,"000:00:00"
PK-GRR,Bombardier-CRJ-1000,"19042",NB,ENGINE,Pos 2,2020-06-05 01:39:05,2020-05-01 00:00:00,2020-05-31 00:00:00,0,"000:00:00"
PK-GRR,Bombardier-CRJ-1000,"19042",NB,LG,,2020-06-05 01:39:05,2020-05-01 00:00:00,2020-05-31 00:00:00,0,"000:00:00"
PK-GRT,Bombardier-CRJ-1000,"19044",NB,AIRFRAME,,2020-06-05 01:48:13,2020-05-01 00:00:00,2020-05-31 00:00:00,0,"000:00:00"
PK-GRT,Bombardier-CRJ-1000,"19044",NB,APU,,2020-06-05 01:48:13,2020-05-01 00:00:00,2020-05-31 00:00:00,0,"000:00:00"
PK-GRT,Bombardier-CRJ-1000,"19044",NB,ENGINE,Pos 1,2020-06-05 01:48:13,2020-05-01 00:00:00,2020-05-31 00:00:00,0,"000:00:00"
PK-GRT,Bombardier-CRJ-1000,"19044",NB,ENGINE,Pos 2,2020-06-05 01:48:13,2020-05-01 00:00:00,2020-05-31 00:00:00,0,"000:00:00"
PK-GRT,Bombardier-CRJ-1000,"19044",NB,LG,,2020-06-05 01:48:13,2020-05-01 00:00:00,2020-05-31 00:00:00,0,"000:00:00"
PK-GAC,ATR72-600,"1132",NB,AIRFRAME,,2020-06-05 01:56:20,2020-05-01 00:00:00,2020-05-31 00:00:00,0,"000:00:00"
PK-GAC,ATR72-600,"1132",NB,ENGINE,Pos 2,2020-06-05 01:56:20,2020-05-01 00:00:00,2020-05-31 00:00:00,0,"000:00:00"
PK-GAC,ATR72-600,"1132",NB,ENGINE,Pos 1,2020-06-05 01:56:20,2020-05-01 00:00:00,2020-05-31 00:00:00,0,"000:00:00"
PK-GAC,ATR72-600,"1132",NB,LG,,2020-06-05 01:56:20,2020-05-01 00:00:00,2020-05-31 00:00:00,0,"000:00:00"
PK-GAC,ATR72-600,"1132",NB,PROPELLER,,2020-06-05 01:56:20,2020-05-01 00:00:00,2020-05-31 00:00:00,0,"000:00:00"
PK-GAD,ATR72-600,"1140",NB,AIRFRAME,,2020-06-05 01:58:34,2020-05-01 00:00:00,2020-05-31 00:00:00,0,"000:00:00"
PK-GAD,ATR72-600,"1140",NB,ENGINE,Pos 1,2020-06-05 01:58:34,2020-05-01 00:00:00,2020-05-31 00:00:00,0,"000:00:00"
PK-GAD,ATR72-600,"1140",NB,ENGINE,Pos 2,2020-06-05 01:58:34,2020-05-01 00:00:00,2020-05-31 00:00:00,0,"000:00:00"
PK-GAD,ATR72-600,"1140",NB,LG,,2020-06-05 01:58:34,2020-05-01 00:00:00,2020-05-31 00:00:00,0,"000:00:00"
PK-GAD,ATR72-600,"1140",NB,PROPELLER,,2020-06-05 01:58:34,2020-05-01 00:00:00,2020-05-31 00:00:00,0,"000:00:00"
PK-GAE,ATR72-600,"1149",NB,AIRFRAME,,2020-06-05 02:01:20,2020-05-01 00:00:00,2020-05-31 00:00:00,0,"000:00:00"
